N̼mero,Identificador,Cuenta,Identificador,Cuenta,Identificador,Cuenta
1,P11838,689,P46881,79,C7C422,49
2,P00918,619,P00811,78,P14779,49
3,P00698,498,Q16539,77,P16442,49
4,P00760,310,P14174,75,P02791,48
5,Q6PJP8,296,P00431,73,P25440,48
6,Q6B0I6,269,P01116,73,P28482,48
7,P02766,258,P00183,72,Q06187,48
8,O95696,257,P01112,72,Q4D3W2,48
9,Q9UIF8,227,Q00511,70,Q94734,48
10,P00644,216,Q76353,68,P00138,47
11,P00720,215,P00282,64,Q24451,47
12,P24941,203,P02883,63,P16083,46
13,P42212,182,P02945,63,P21816,46
14,P29476,178,P06873,63,Q92793,46
15,P02185,172,P16113,63,D9J2T9,45
16,O60885,170,Q04609,63,B3LRE1,44
17,P18031,152,P00772,61,P00327,44
18,P61823,145,P17931,61,P29475,44
19,P28720,144,P62937,61,P36639,44
20,P07900,142,P68082,61,Q8WS26,44
21,P61626,139,Q8WWQ0,60,P02213,43
22,P15121,125,Q9H2K2,59,P30405,43
23,P56817,124,P00374,57,Q02127,42
24,P0DTD1,123,P05230,57,P49773,41
25,P19491,116,P22734,57,O96935,40
26,P23497,106,P00441,56,P07445,40
27,P00800,103,P39900,56,P0AEX9,40
28,O26232,102,Q6PL18,55,P63086,40
29,P22629,97,O14757,54,O15178,39
30,P00489,96,Q99497,54,P29317,39
31,P03367,96,P26281,53,P38501,39
32,P68400,95,P24300,52,Q13451,39
33,A0A073FPA6,84,P25006,50,O52792,38
